Date,Name,Year,Letterboxd URI,Rating
2023-04-03,All the Beauty and the Bloodshed,2022,https://boxd.it/BYjU,4.5
2023-04-05,The Beasts,2022,https://boxd.it/w1L6,4.5
2023-04-19,Nobody,2021,https://boxd.it/mLqS,3.5
2023-04-20,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3.5
2023-04-21,Nightcrawler,2014,https://boxd.it/780m,3.5
2023-04-25,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2023-05-11,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2023-05-15,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2023-06-03,Black Panther,2018,https://boxd.it/8MHs,4
2023-06-05,Akira,1988,https://boxd.it/2b1i,4
2023-07-15,Air,2023,https://boxd.it/Arlc,3
2023-10-02,Past Lives,2023,https://boxd.it/oNB8,4.5
2023-10-04,Creatura,2023,https://boxd.it/EydM,3.5
2023-10-25,The Creator,2023,https://boxd.it/oXWq,3
2023-12-20,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4
2023-12-25,Elemental,2023,https://boxd.it/ASiE,3
2024-01-03,Knives Out,2019,https://boxd.it/jWEA,4
2024-01-03,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4
2024-01-03,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,4
2024-01-05,The Pianist,2002,https://boxd.it/2aqc,4.5
2024-01-07,Barbie,2023,https://boxd.it/bCLK,4.5
2024-01-09,Hustle,2022,https://boxd.it/qpig,3
2024-01-11,Uncut Gems,2019,https://boxd.it/gXGc,3.5
2024-01-16,Oppenheimer,2023,https://boxd.it/wUow,4.5
2024-01-21,Saltburn,2023,https://boxd.it/z4eg,4
2024-01-23,Scrapper,2023,https://boxd.it/zht4,4
2024-01-25,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2024-02-08,American Psycho,2000,https://boxd.it/28Vs,3.5
2024-02-16,Society of the Snow,2023,https://boxd.it/y9aw,5
2024-02-16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2024-02-17,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2024-02-18,The Menu,2022,https://boxd.it/lScm,3.5
2024-02-24,The Killer,2023,https://boxd.it/u6WE,3.5
2024-02-26,Good Time,2017,https://boxd.it/fcFu,4
2024-02-28,1917,2019,https://boxd.it/jj4y,4
2024-02-29,Dead Poets Society,1989,https://boxd.it/2aSg,4.5
2024-03-01,Oldboy,2003,https://boxd.it/29R2,4.5
2024-03-06,Killers of the Flower Moon,2023,https://boxd.it/gHp0,3.5
2024-03-07,Perfect Days,2023,https://boxd.it/ATh8,4.5
2024-03-10,The Zone of Interest,2023,https://boxd.it/gJsA,3.5
2024-03-10,Poor Things,2023,https://boxd.it/tNWU,4
2024-03-11,American Fiction,2023,https://boxd.it/DYHm,4
2024-03-11,Femme,2023,https://boxd.it/ASQw,3.5
2024-03-14,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-04-11,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2024-04-11,The Teachers' Lounge,2023,https://boxd.it/BINY,3.5
2024-04-13,The Teacher Who Promised the Sea,2023,https://boxd.it/CKje,4.5
2024-04-14,Hypnotic,2023,https://boxd.it/jwXw,2.5
2024-04-16,Army of Thieves,2021,https://boxd.it/tYai,3.5
2024-04-20,How to Have Sex,2023,https://boxd.it/EFIM,4
2024-06-28,Before Sunrise,1995,https://boxd.it/2bcU,4
2024-06-28,Before Sunset,2004,https://boxd.it/2bcg,4.5
2024-06-28,Before Midnight,2013,https://boxd.it/4ive,3
2024-08-03,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2024-08-14,Scarface,1983,https://boxd.it/2b7g,4.5
2024-08-19,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3.5
2024-08-20,Boiling Point,2021,https://boxd.it/uo2u,4.5
2024-08-22,Ford v Ferrari,2019,https://boxd.it/ce74,4
2024-08-23,Rush,2013,https://boxd.it/3lyS,3.5
2024-10-16,Surf's Up,2007,https://boxd.it/1YKY,4.5
2024-10-17,I Am Nevenka,2024,https://boxd.it/KY94,4.5
2024-10-20,Undercover,2024,https://boxd.it/K7P2,4
2024-11-07,The Room Next Door,2024,https://boxd.it/Fb4k,4
2024-11-08,The Wild Robot,2024,https://boxd.it/IWFy,4.5
2024-11-19,Not a Pretty Picture,1976,https://boxd.it/fm36,4
2024-12-10,The Red Virgin,2024,https://boxd.it/Gi0m,4
2024-12-11,Princesses,2005,https://boxd.it/2932,4.5
